CO_LEG,District,Step
Whitman009,4,125
Yakima013,9,125
Yakima014,6,125
Yakima015,9,125
CO_LEG,District,Step
Adams009,4,150
Asotin009,4,150
Benton008,9,150
Benton016,9,150
Chelan012,6,150
Clallam024,2,150
Clark015,3,150
Clark017,3,150
Clark018,3,150
Clark049,3,150
Columbia016,4,150
Cowlitz018,3,150
Cowlitz019,3,150
Douglas012,1,150
Ferry007,6,150
Franklin009,4,150
Franklin016,4,150
Garfield009,4,150
Grant012,6,150
Grant013,1,150
Grays Harbor019,3,150
Grays Harbor024,3,150
Grays Harbor035,3,150
Island010,6,150
Jefferson024,2,150
King001,7,150
King005,0,150
King011,0,150
King030,0,150
King031,0,150
King032,7,150
King033,0,150
King034,0,150
King036,7,150
King037,0,150
King039,6,150
King041,6,150
King043,7,150
King045,6,150
King046,7,150
King047,0,150
King048,6,150
Kitsap023,0,150
Kitsap026,0,150
Kitsap035,0,150
Kittitas013,1,150
Klickitat015,9,150
Lewis020,3,150
Lincoln007,6,150
Mason035,0,150
Okanogan007,6,150
Okanogan012,6,150
Pacific019,3,150
Pend Oreille007,4,150
Pierce002,1,150
Pierce025,1,150
Pierce026,0,150
Pierce027,0,150
Pierce028,1,150
Pierce029,8,150
Pierce031,1,150
San Juan040,6,150
Skagit010,6,150
Skagit021,0,150
Skagit039,6,150
Skagit040,6,150
Skamania015,3,150
Snohomish001,7,150
Snohomish010,6,150
Snohomish021,0,150
Snohomish032,7,150
Snohomish038,6,150
Snohomish039,6,150
Snohomish044,7,150
Snohomish048,6,150
Spokane003,4,150
Spokane004,4,150
Spokane006,4,150
Spokane007,6,150
Spokane009,4,150
Stevens007,4,150
Thurston002,3,150
Thurston020,3,150
Thurston022,3,150
Thurston035,3,150
Wahkiakum019,3,150
Walla Walla016,5,150
Whatcom039,0,150
Whatcom040,6,150
Whatcom042,6,150
Whitman009,4,150
Yakima013,1,150
Yakima014,1,150
Yakima015,9,150
CO_LEG,District,Step
Adams009,4,175
Asotin009,4,175
Benton008,9,175
Benton016,9,175
Chelan012,6,175
Clallam024,2,175
Clark015,3,175
Clark017,3,175
Clark018,3,175
Clark049,3,175
Columbia016,4,175
Cowlitz018,3,175
Cowlitz019,3,175
Douglas012,1,175
Ferry007,6,175
Franklin009,4,175
Franklin016,4,175
Garfield009,4,175
Grant012,6,175
Grant013,1,175
Grays Harbor019,3,175
Grays Harbor024,3,175
Grays Harbor035,3,175
Island010,6,175
Jefferson024,2,175
King001,7,175
King005,6,175
King011,0,175
King030,0,175
King031,1,175
King032,7,175
King033,0,175
King034,0,175
King036,7,175
King037,7,175
King039,6,175
King041,0,175
King043,7,175
King045,7,175
King046,7,175
King047,1,175
King048,6,175
Kitsap023,0,175
Kitsap026,0,175
Kitsap035,0,175
Kittitas013,1,175
Klickitat015,9,175
Lewis020,3,175
Lincoln007,4,175
Mason035,0,175
Okanogan007,6,175
Okanogan012,6,175
Pacific019,3,175
Pend Oreille007,4,175
Pierce002,1,175
Pierce025,8,175
Pierce026,0,175
Pierce027,8,175
Pierce028,8,175
Pierce029,1,175
Pierce031,1,175
San Juan040,6,175
Skagit010,6,175
Skagit021,0,175
Skagit039,6,175
Skagit040,6,175
Skamania015,3,175
Snohomish001,7,175
Snohomish010,6,175
Snohomish021,0,175
Snohomish032,7,175
Snohomish038,0,175
Snohomish039,6,175
Snohomish044,7,175
Snohomish048,6,175
Spokane003,4,175
Spokane004,4,175
Spokane006,4,175
Spokane007,4,175
Spokane009,4,175
Stevens007,4,175
Thurston002,3,175
Thurston020,3,175
Thurston022,3,175
Thurston035,3,175
Wahkiakum019,3,175
Walla Walla016,5,175
Whatcom039,0,175
Whatcom040,6,175
Whatcom042,6,175
Whitman009,4,175
Yakima013,9,175
Yakima014,3,175
Yakima015,9,175
CO_LEG,District,Step
Adams009,4,200
Asotin009,4,200
Benton008,9,200
Benton016,9,200
Chelan012,6,200
Clallam024,2,200
Clark015,3,200
Clark017,3,200
Clark018,3,200
Clark049,3,200
Columbia016,4,200
Cowlitz018,3,200
Cowlitz019,3,200
Douglas012,1,200
Ferry007,6,200
Franklin009,4,200
Franklin016,4,200
Garfield009,4,200
Grant012,4,200
Grant013,4,200
Grays Harbor019,3,200
Grays Harbor024,0,200
Grays Harbor035,3,200
Island010,6,200
Jefferson024,2,200
King001,7,200
King005,6,200
King011,0,200
King030,1,200
King031,1,200
King032,7,200
King033,0,200
King034,0,200
King036,7,200
King037,0,200
King039,1,200
King041,6,200
King043,7,200
King045,6,200
King046,7,200
King047,1,200
King048,6,200
Kitsap023,0,200
Kitsap026,0,200
Kitsap035,0,200
Kittitas013,1,200
Klickitat015,9,200
Lewis020,3,200
Lincoln007,4,200
Mason035,0,200
Okanogan007,6,200
Okanogan012,6,200
Pacific019,3,200
Pend Oreille007,4,200
Pierce002,1,200
Pierce025,8,200
Pierce026,0,200
Pierce027,8,200
Pierce028,3,200
Pierce029,1,200
Pierce031,1,200
San Juan040,6,200
Skagit010,6,200
Skagit021,0,200
Skagit039,6,200
Skagit040,6,200
Skamania015,9,200
Snohomish001,7,200
Snohomish010,6,200
Snohomish021,0,200
Snohomish032,7,200
Snohomish038,0,200
Snohomish039,6,200
Snohomish044,7,200
Snohomish048,6,200
Spokane003,4,200
Spokane004,4,200
Spokane006,4,200
Spokane007,4,200
Spokane009,4,200
Stevens007,4,200
Thurston002,3,200
Thurston020,3,200
Thurston022,3,200
Thurston035,3,200
Wahkiakum019,3,200
Walla Walla016,5,200
Whatcom039,0,200
Whatcom040,6,200
Whatcom042,6,200
Whitman009,4,200
Yakima013,3,200
Yakima014,3,200
Yakima015,9,200
CO_LEG,District,Step
Adams009,4,225
Asotin009,4,225
Benton008,9,225
Benton016,9,225
Chelan012,6,225
Clallam024,2,225
Clark015,3,225
Clark017,3,225
Clark018,3,225
Clark049,3,225
Columbia016,4,225
Cowlitz018,3,225
Cowlitz019,3,225
Douglas012,1,225
Ferry007,4,225
Franklin009,4,225
Franklin016,5,225
Garfield009,4,225
Grant012,6,225
Grant013,1,225
Grays Harbor019,3,225
Grays Harbor024,2,225
Grays Harbor035,3,225
Island010,6,225
Jefferson024,2,225
King001,6,225
King005,6,225
King011,0,225
King030,1,225
King031,3,225
King032,7,225
King033,0,225
King034,0,225
King036,7,225
King037,0,225
King039,6,225
King041,6,225
