4293,Polygon,4294,1,4293,53,47,47139,5304747139,A,Similkameen,Similkameen Voting District,V2,G5240,N,25109752,331980,48.9776149,-119.4810132,4293,4294,4297,103,53,47,47139,5304747139,A,Similkameen,Similkameen Voting District,V2,G5240,N,25109752,331980,48.9776,-119.481,198453,142,103,1,4155,Okanogan,139,201,8,33,56,2,0,39,0.195122,0.04878,56,1,139,200,58,8,39,5,40,3,45,0.170213,0.111111,0.0625,0.114608,5.15736,39.8426,620L200US53007,53,7,7,SHD,10912.019,0.256155,0.003125
4347,Polygon,4348,1,4347,53,47,47078,5304747078,A,West Chewuch,West Chewuch Voting District,V2,G5240,N,793055068,741213,48.8322029,-120.0897726,4347,4348,4449,113,53,47,47078,5304747078,A,West Chewuch,West Chewuch Voting District,V2,G5240,N,793055068,741213,48.8322,-120.09,196576,130,113,1,4307,Okanogan,78,130,56,33,121,47,0,38,0.629214,0.552941,121,1,78,126,120,72,37,78,32,54,48,0.66055,0.709091,0.529412,0.633018,69.632,40.3681,620L200US53012,53,12,12,SHD,8453.209,1.992995,0.097227
4428,Polygon,4429,1,4428,53,47,47028,5304747028,A,Nighthawk,Nighthawk Voting District,V2,G5240,N,260898527,2772245,48.9532612,-119.8296757,4428,4429,4396,45,53,47,47028,5304747028,A,Nighthawk,Nighthawk Voting District,V2,G5240,N,260898527,2772245,48.9533,-119.83,194248,57,45,1,4254,Okanogan,28,45,11,18,36,7,0,22,0.37931,0.241379,36,1,28,41,36,7,24,10,20,4,26,0.225806,0.333333,0.133333,0.230824,6.92473,23.0753,620L200US53007,53,7,7,SHD,10912.019,1.090564,0.032375
4440,Polygon,4441,1,4440,53,47,47024,5304747024,A,Molson,Molson Voting District,V2,G5240,N,97177854,619614,48.9648491,-119.2595587,4440,4441,4392,147,53,47,47024,5304747024,A,Molson,Molson Voting District,V2,G5240,N,97177854,619614,48.9648,-119.26,193967,170,147,1,4250,Okanogan,24,39,22,65,115,22,0,70,0.252874,0.23913,115,1,24,33,111,32,60,33,57,28,64,0.347826,0.366667,0.304348,0.339614,30.5652,59.4348,620L200US53007,53,7,7,SHD,10912.019,0.665334,0.012011
4443,Polygon,4444,1,4443,53,47,47021,5304747021,A,Mazama,Mazama Voting District,V2,G5240,N,1863796483,1569195,48.7687359,-120.5072977,4443,4444,4374,218,53,47,47021,5304747021,A,Mazama,Mazama Voting District,V2,G5240,N,1863796483,1569195,48.7687,-120.507,193646,257,218,1,4232,Okanogan,21,34,84,44,172,76,0,47,0.65625,0.617886,172,1,21,26,165,93,54,108,42,81,61,0.632653,0.72,0.570423,0.641025,96.1538,53.8462,620L200US53012,53,12,12,SHD,8453.209,3.007954,0.228158
4455,Polygon,4456,1,4455,53,47,47009,5304747009,A,Chesaw,Chesaw Voting District,V2,G5240,N,60070243,127777,48.9748638,-119.050938,4455,4456,4461,95,53,47,47009,5304747009,A,Chesaw,Chesaw Voting District,V2,G5240,N,60070243,127777,48.9749,-119.051,192811,115,95,1,4319,Okanogan,9,291,21,30,70,22,0,30,0.411765,0.423077,70,1,9,297,71,26,34,30,24,28,30,0.433333,0.555556,0.482759,0.490549,26.4897,27.5103,620L200US53007,53,7,7,SHD,10912.019,0.764205,0.007393
4460,Polygon,4461,1,4460,53,47,47004,5304747004,A,Bodie,Bodie Voting District,V2,G5240,N,186294575,35873,48.8721645,-118.8936886,4460,4461,4409,80,53,47,47004,5304747004,A,Bodie,Bodie Voting District,V2,G5240,N,186294575,35873,48.8722,-118.894,192522,101,80,1,4267,Okanogan,4,4,13,35,66,14,0,34,0.270833,0.291667,66,1,4,4,57,14,36,17,28,14,34,0.28,0.377778,0.291667,0.316481,14.2417,30.7583,620L200US53007,53,7,7,SHD,10912.019,0.781268,0.02284
4473,Polygon,4474,1,4473,53,47,47095,5304747095,A,Boundary,Boundary Voting District,V2,G5240,N,1047848,3119201,48.9798802,-119.4512419,4473,4474,4467,114,53,47,47095,5304747095,A,Boundary,Boundary Voting District,V2,G5240,N,1047848,3119201,48.9799,-119.451,197236,150,114,1,4325,Okanogan,95,151,14,60,104,12,0,62,0.189189,0.162162,104,1,95,150,105,19,70,22,65,18,68,0.213483,0.252874,0.209302,0.22522,19.5941,67.4059,620L200US53007,53,7,7,SHD,10912.019,0.113031,0.000512
4475,Polygon,4476,1,4475,53,47,47097,5304747097,A,Eder,Eder Voting District,V2,G5240,N,36118279,3183597,48.9880345,-119.3841068,4475,4476,4469,185,53,47,47097,5304747097,A,Eder,Eder Voting District,V2,G5240,N,36118279,3183597,48.988,-119.384,197298,225,185,1,4327,Okanogan,97,156,22,49,106,12,0,59,0.309859,0.169014,106,1,97,155,101,20,53,27,42,13,58,0.273973,0.391304,0.183099,0.282792,19.5126,49.4874,620L200US53007,53,7,7,SHD,10912.019,0.338666,0.004827
4531,Polygon,4532,1,4531,53,51,5113,530515113,A,Newport Southeast,Newport Southeast Voting District,V2,G5240,N,891691,0,48.1738135,-117.0434047,4531,4532,4521,389,53,51,5113,530515113,A,Newport Southeast,Newport Southeast Voting District,V2,G5240,N,891691,0,48.1738,-117.043,204714,535,389,1,4379,Pend Oreille,13 NEWPORT SE,13,47,84,205,47,0,90,0.358779,0.343066,205,1,13 NEWPORT SE,13,0,65,96,63,94,55,104,0.403727,0.401274,0.345912,0.383638,60.2311,96.7689,620L200US53007,53,7,7,SHD,10912.019,0.04422,0.000108
4532,Polygon,4533,1,4532,53,51,5112,530515112,A,Newport Northeast,Newport Northeast Voting District,V2,G5240,N,11224072,1058625,48.2379954,-117.0529871,4532,4533,4520,287,53,51,5112,530515112,A,Newport Northeast,Newport Northeast Voting District,V2,G5240,N,11224072,1058625,48.238,-117.053,204649,370,287,1,4378,Pend Oreille,12 NEWPORT NE,12,70,91,221,68,0,93,0.434783,0.42236,221,1,12 NEWPORT NE,12,0,75,98,72,99,49,118,0.433526,0.421053,0.293413,0.382664,65.4355,105.564,620L200US53007,53,7,7,SHD,10912.019,0.201206,0.001487
4535,Polygon,4536,1,4535,53,51,5124,530515124,A,Skookum,Skookum Voting District,V2,G5240,N,223948922,4224471,48.3616225,-117.1377505,4535,4536,4532,137,53,51,5124,530515124,A,Skookum,Skookum Voting District,V2,G5240,N,223948922,4224471,48.3616,-117.138,205615,165,137,1,4390,Pend Oreille,24 SKOOKUM,24,32,43,94,27,0,49,0.426667,0.355263,94,1,24 SKOOKUM,24,0,39,41,46,34,31,50,0.4875,0.575,0.382716,0.481739,38.5391,41.4609,620L200US53007,53,7,7,SHD,10912.019,0.794883,0.027676
4539,Polygon,4540,1,4539,53,51,5111,530515111,A,Tiger - Dry Canyon,Tiger - Dry Canyon Voting District,V2,G5240,N,857915108,11840669,48.7170247,-117.2527302,4539,4540,4519,615,53,51,5111,530515111,A,Tiger - Dry Canyon,Tiger - Dry Canyon Voting District,V2,G5240,N,857915108,11840669,48.717,-117.253,204453,734,615,1,4377,Pend Oreille,11 TIGER DRY CANYON,11,126,221,436,121,0,222,0.363112,0.35277,436,1,11 TIGER DRY CANYON,11,0,133,241,134,224,101,268,0.355615,0.374302,0.273713,0.334543,119.766,238.234,620L200US53007,53,7,7,SHD,10912.019,1.530517,0.106245
4543,Polygon,4544,1,4543,53,51,5110,530515110,A,Metaline Falls,Metaline Falls Voting District,V2,G5240,N,439591558,5488757,48.9110915,-117.1660209,4543,4544,4518,359,53,51,5110,530515110,A,Metaline Falls,Metaline Falls Voting District,V2,G5240,N,439591558,5488757,48.9111,-117.166,204340,448,359,1,4376,Pend Oreille,10 METALINE FALLS,10,99,120,296,93,0,123,0.452055,0.430556,296,1,10 METALINE FALLS,10,0,121,156,123,145,88,179,0.436823,0.458955,0.329588,0.408455,109.466,158.534,620L200US53007,53,7,7,SHD,10912.019,1.126121,0.054597
4546,Polygon,4547,1,4546,53,51,5109,530515109,A,Metaline,Metaline Voting District,V2,G5240,N,161396429,1746347,48.8886213,-117.4468349,4546,4547,4517,187,53,51,5109,530515109,A,Metaline,Metaline Voting District,V2,G5240,N,161396429,1746347,48.8886,-117.447,204215,230,187,1,4375,Pend Oreille,09 METALINE,9,45,68,138,40,0,76,0.39823,0.344828,138,1,09 METALINE,9,0,43,78,43,77,27,93,0.355372,0.358333,0.225,0.312902,37.5482,82.4518,620L200US53007,53,7,7,SHD,10912.019,0.763679,0.02001
4549,Polygon,4550,1,4549,53,51,5116,530515116,A,Noble,Noble Voting District,V2,G5240,N,104050606,221112,48.0997172,-117.0958798,4549,4550,4524,607,53,51,5116,530515116,A,Noble,Noble Voting District,V2,G5240,N,104050606,221112,48.0997,-117.096,204903,789,607,1,4382,Pend Oreille,16 NOBLE,16,138,227,491,136,0,235,0.378082,0.366577,491,1,16 NOBLE,16,0,165,227,165,213,131,251,0.420918,0.436508,0.342932,0.400119,151.245,226.755,620L200US53007,53,7,7,SHD,10912.019,0.460501,0.012591
